second,sensor_id,client_id,observed_fps,sensor_name,target_fps,effective_fps
1,5,fast,30,camera,30.0,30.0
1,5,slow,30,camera,30.0,30.0
1,9,fast,30,lidar,30.0,30.0
1,9,slow,30,lidar,30.0,30.0
2,5,fast,30,camera,30.0,30.0
2,5,slow,30,camera,30.0,30.0
2,9,fast,30,lidar,30.0,30.0
2,9,slow,30,lidar,30.0,30.0
3,5,fast,30,camera,30.0,30.0
3,5,slow,30,camera,30.0,30.0
3,9,fast,30,lidar,30.0,30.0
3,9,slow,30,lidar,30.0,30.0
4,5,fast,30,camera,30.0,30.0
4,5,slow,30,camera,30.0,30.0
4,9,fast,30,lidar,30.0,30.0
4,9,slow,30,lidar,30.0,30.0
5,5,fast,30,camera,30.0,30.0
5,5,slow,30,camera,30.0,30.0
5,9,fast,30,lidar,30.0,30.0
5,9,slow,30,lidar,30.0,30.0
6,5,fast,30,camera,30.0,30.0
6,5,slow,15,camera,30.0,22.5
6,9,fast,30,lidar,30.0,30.0
6,9,slow,15,lidar,30.0,22.5
7,5,fast,30,camera,30.0,30.0
7,5,slow,15,camera,30.0,22.5
7,9,fast,30,lidar,30.0,30.0
7,9,slow,15,lidar,30.0,22.5
8,5,fast,30,camera,30.0,30.0
8,5,slow,15,camera,30.0,16.875
8,9,fast,30,lidar,30.0,30.0
8,9,slow,15,lidar,30.0,16.875
9,5,fast,30,camera,30.0,30.0
9,5,slow,15,camera,30.0,16.875
9,9,fast,30,lidar,30.0,30.0
9,9,slow,15,lidar,30.0,16.875
10,5,fast,30,camera,30.0,30.0
10,5,slow,10,camera,30.0,12.65625
10,9,fast,30,lidar,30.0,30.0
10,9,slow,10,lidar,30.0,12.65625
11,5,fast,30,camera,30.0,30.0
11,5,slow,10,camera,30.0,12.65625
11,9,fast,30,lidar,30.0,30.0
11,9,slow,10,lidar,30.0,12.65625
12,5,fast,30,camera,30.0,30.0
12,5,slow,7,camera,30.0,9.4921875
12,9,fast,30,lidar,30.0,30.0
12,9,slow,7,lidar,30.0,9.4921875
13,5,fast,30,camera,30.0,30.0
13,5,slow,8,camera,30.0,9.4921875
13,9,fast,30,lidar,30.0,30.0
13,9,slow,8,lidar,30.0,9.4921875
14,5,fast,30,camera,30.0,30.0
14,5,slow,6,camera,30.0,7.119140625
14,9,fast,30,lidar,30.0,30.0
14,9,slow,6,lidar,30.0,7.119140625
15,5,fast,30,camera,30.0,30.0
15,5,slow,6,camera,30.0,7.119140625
15,9,fast,30,lidar,30.0,30.0
15,9,slow,6,lidar,30.0,7.119140625
16,5,fast,30,camera,30.0,30.0
16,5,slow,5,camera,30.0,5.33935546875
16,9,fast,30,lidar,30.0,30.0
16,9,slow,5,lidar,30.0,5.33935546875
17,5,fast,30,camera,30.0,30.0
17,5,slow,5,camera,30.0,5.33935546875
17,9,fast,30,lidar,30.0,30.0
17,9,slow,5,lidar,30.0,5.33935546875
18,5,fast,30,camera,30.0,30.0
18,5,slow,3,camera,30.0,4.0045166015625
18,9,fast,30,lidar,30.0,30.0
18,9,slow,3,lidar,30.0,4.0045166015625
19,5,fast,30,camera,30.0,30.0
19,5,slow,4,camera,30.0,4.0045166015625
19,9,fast,30,lidar,30.0,30.0
19,9,slow,4,lidar,30.0,4.0045166015625
20,5,fast,30,camera,30.0,30.0
20,5,slow,3,camera,30.0,3.003387451171875
20,9,fast,30,lidar,30.0,30.0
20,9,slow,3,lidar,30.0,3.003387451171875
21,5,fast,30,camera,30.0,30.0
21,5,slow,3,camera,30.0,3.003387451171875
21,9,fast,30,lidar,30.0,30.0
21,9,slow,3,lidar,30.0,3.003387451171875
22,5,fast,30,camera,30.0,30.0
22,5,slow,2,camera,30.0,2.2525405883789062
22,9,fast,30,lidar,30.0,30.0
22,9,slow,2,lidar,30.0,2.2525405883789062
23,5,fast,30,camera,30.0,30.0
23,5,slow,2,camera,30.0,2.2525405883789062
23,9,fast,30,lidar,30.0,30.0
23,9,slow,2,lidar,30.0,2.2525405883789062
24,5,fast,30,camera,30.0,30.0
24,5,slow,1,camera,30.0,1.6894054412841797
24,9,fast,30,lidar,30.0,30.0
24,9,slow,1,lidar,30.0,1.6894054412841797
25,5,fast,30,camera,30.0,30.0
25,5,slow,2,camera,30.0,1.6894054412841797
25,9,fast,30,lidar,30.0,30.0
25,9,slow,2,lidar,30.0,1.6894054412841797
26,5,fast,30,camera,30.0,30.0
26,5,slow,1,camera,30.0,1.2670540809631348
26,9,fast,30,lidar,30.0,30.0
26,9,slow,1,lidar,30.0,1.2670540809631348
27,5,fast,30,camera,30.0,30.0
27,5,slow,1,camera,30.0,1.2670540809631348
27,9,fast,30,lidar,30.0,30.0
27,9,slow,1,lidar,30.0,1.2670540809631348
28,5,fast,30,camera,30.0,30.0
28,5,slow,1,camera,30.0,1.0
28,9,fast,30,lidar,30.0,30.0
28,9,slow,1,lidar,30.0,1.0
29,5,fast,30,camera,30.0,30.0
29,5,slow,1,camera,30.0,1.0
29,9,fast,30,lidar,30.0,30.0
29,9,slow,1,lidar,30.0,1.0
30,5,fast,30,camera,30.0,30.0
30,5,slow,1,camera,30.0,1.0
30,9,fast,30,lidar,30.0,30.0
30,9,slow,1,lidar,30.0,1.0
31,5,fast,30,camera,30.0,30.0
31,5,slow,1,camera,30.0,1.0
31,9,fast,30,lidar,30.0,30.0
31,9,slow,1,lidar,30.0,1.0
32,5,fast,30,camera,30.0,30.0
32,5,slow,1,camera,30.0,1.0
32,9,fast,30,lidar,30.0,30.0
32,9,slow,1,lidar,30.0,1.0
33,5,fast,30,camera,30.0,30.0
33,5,slow,1,camera,30.0,1.0
33,9,fast,30,lidar,30.0,30.0
33,9,slow,1,lidar,30.0,1.0
34,5,fast,30,camera,30.0,30.0
34,5,slow,1,camera,30.0,1.0
34,9,fast,30,lidar,30.0,30.0
34,9,slow,1,lidar,30.0,1.0
35,5,fast,30,camera,30.0,30.0
35,5,slow,1,camera,30.0,1.0
35,9,fast,30,lidar,30.0,30.0
35,9,slow,1,lidar,30.0,1.0
36,5,fast,30,camera,30.0,30.0
36,5,slow,1,camera,30.0,1.0
36,9,fast,30,lidar,30.0,30.0
36,9,slow,1,lidar,30.0,1.0
37,5,fast,30,camera,30.0,30.0
37,5,slow,1,camera,30.0,1.0
37,9,fast,30,lidar,30.0,30.0
37,9,slow,1,lidar,30.0,1.0
38,5,fast,30,camera,30.0,30.0
38,5,slow,1,camera,30.0,1.0
38,9,fast,30,lidar,30.0,30.0
38,9,slow,1,lidar,30.0,1.0
39,5,fast,30,camera,30.0,30.0
39,5,slow,1,camera,30.0,1.0
39,9,fast,30,lidar,30.0,30.0
39,9,slow,1,lidar,30.0,1.0
40,5,fast,30,camera,30.0,30.0
40,5,slow,1,camera,30.0,1.0
40,9,fast,30,lidar,30.0,30.0
40,9,slow,1,lidar,30.0,1.0
41,5,fast,30,camera,30.0,30.0
41,5,slow,1,camera,30.0,1.0
41,9,fast,30,lidar,30.0,30.0
41,9,slow,1,lidar,30.0,1.0
42,5,fast,30,camera,30.0,30.0
42,5,slow,1,camera,30.0,1.0
42,9,fast,30,lidar,30.0,30.0
42,9,slow,1,lidar,30.0,1.0
43,5,fast,30,camera,30.0,30.0
43,5,slow,1,camera,30.0,1.0
43,9,fast,30,lidar,30.0,30.0
43,9,slow,1,lidar,30.0,1.0
44,5,fast,30,camera,30.0,30.0
44,5,slow,1,camera,30.0,1.0
44,9,fast,30,lidar,30.0,30.0
44,9,slow,1,lidar,30.0,1.0
45,5,fast,30,camera,30.0,30.0
45,5,slow,1,camera,30.0,1.0
45,9,fast,30,lidar,30.0,30.0
45,9,slow,1,lidar,30.0,1.0
46,5,fast,30,camera,30.0,30.0
46,5,slow,1,camera,30.0,1.0
46,9,fast,30,lidar,30.0,30.0
46,9,slow,1,lidar,30.0,1.0
47,5,fast,30,camera,30.0,30.0
47,5,slow,1,camera,30.0,1.0
47,9,fast,30,lidar,30.0,30.0
47,9,slow,1,lidar,30.0,1.0
48,5,fast,30,camera,30.0,30.0
48,5,slow,1,camera,30.0,1.0
48,9,fast,30,lidar,30.0,30.0
48,9,slow,1,lidar,30.0,1.0
49,5,fast,30,camera,30.0,30.0
49,5,slow,1,camera,30.0,1.0
49,9,fast,30,lidar,30.0,30.0
49,9,slow,1,lidar,30.0,1.0
50,5,fast,30,camera,30.0,30.0
50,5,slow,1,camera,30.0,1.0
50,9,fast,30,lidar,30.0,30.0
50,9,slow,1,lidar,30.0,1.0
51,5,fast,30,camera,30.0,30.0
51,5,slow,1,camera,30.0,1.0
51,9,fast,30,lidar,30.0,30.0
51,9,slow,1,lidar,30.0,1.0
52,5,fast,30,camera,30.0,30.0
52,5,slow,1,camera,30.0,1.0
52,9,fast,30,lidar,30.0,30.0
52,9,slow,1,lidar,30.0,1.0
53,5,fast,30,camera,30.0,30.0
53,5,slow,1,camera,30.0,1.0
53,9,fast,30,lidar,30.0,30.0
53,9,slow,1,lidar,30.0,1.0
54,5,fast,30,camera,30.0,30.0
54,5,slow,1,camera,30.0,1.0
54,9,fast,30,lidar,30.0,30.0
54,9,slow,1,lidar,30.0,1.0
55,5,fast,30,camera,30.0,30.0
55,5,slow,1,camera,30.0,1.0
55,9,fast,30,lidar,30.0,30.0
55,9,slow,1,lidar,30.0,1.0
56,5,fast,30,camera,30.0,30.0
56,5,slow,1,camera,30.0,1.0
56,9,fast,30,lidar,30.0,30.0
56,9,slow,1,lidar,30.0,1.0
57,5,fast,30,camera,30.0,30.0
57,5,slow,1,camera,30.0,1.0
57,9,fast,30,lidar,30.0,30.0
57,9,slow,1,lidar,30.0,1.0
58,5,fast,30,camera,30.0,30.0
58,5,slow,1,camera,30.0,1.0
58,9,fast,30,lidar,30.0,30.0
58,9,slow,1,lidar,30.0,1.0
59,5,fast,30,camera,30.0,30.0
59,5,slow,1,camera,30.0,1.0
59,9,fast,30,lidar,30.0,30.0
59,9,slow,1,lidar,30.0,1.0
60,5,fast,30,camera,30.0,30.0
60,5,slow,1,camera,30.0,1.0
60,9,fast,30,lidar,30.0,30.0
60,9,slow,1,lidar,30.0,1.0
