second,sensor_id,client_id,observed_fps,target_fps,effective_fps,viewport_active
1,5,client,30,30.0,30.0,True
2,5,client,30,30.0,30.0,True
3,5,client,30,30.0,30.0,True
4,5,client,30,30.0,30.0,True
5,5,client,30,30.0,30.0,True
6,5,client,30,30.0,30.0,True
7,5,client,30,30.0,30.0,True
8,5,client,30,30.0,30.0,True
9,5,client,30,30.0,30.0,True
10,5,client,30,30.0,30.0,True
11,5,client,30,30.0,30.0,True
12,5,client,30,30.0,30.0,True
13,5,client,30,30.0,30.0,True
14,5,client,30,30.0,30.0,True
15,5,client,30,30.0,30.0,True
16,5,client,30,30.0,30.0,True
17,5,client,30,30.0,30.0,True
18,5,client,30,30.0,30.0,True
19,5,client,30,30.0,30.0,True
20,5,client,30,30.0,30.0,True
21,5,client,30,30.0,30.0,True
22,5,client,30,30.0,30.0,True
23,5,client,30,30.0,30.0,True
24,5,client,30,30.0,30.0,True
25,5,client,30,30.0,30.0,True
26,5,client,30,30.0,30.0,True
27,5,client,30,30.0,30.0,True
28,5,client,30,30.0,30.0,True
29,5,client,30,30.0,30.0,True
30,5,client,30,30.0,30.0,True
31,5,client,1,30.0,1.0,False
32,5,client,1,30.0,1.0,False
33,5,client,1,30.0,1.0,False
34,5,client,1,30.0,1.0,False
35,5,client,1,30.0,1.0,False
36,5,client,1,30.0,1.0,False
37,5,client,1,30.0,1.0,False
38,5,client,1,30.0,1.0,False
39,5,client,1,30.0,1.0,False
40,5,client,1,30.0,1.0,False
41,5,client,1,30.0,1.0,False
42,5,client,1,30.0,1.0,False
43,5,client,1,30.0,1.0,False
44,5,client,1,30.0,1.0,False
45,5,client,1,30.0,1.0,False
46,5,client,1,30.0,1.0,False
47,5,client,1,30.0,1.0,False
48,5,client,1,30.0,1.0,False
49,5,client,1,30.0,1.0,False
50,5,client,1,30.0,1.0,False
51,5,client,1,30.0,1.0,False
52,5,client,1,30.0,1.0,False
53,5,client,1,30.0,1.0,False
54,5,client,1,30.0,1.0,False
55,5,client,1,30.0,1.0,False
56,5,client,1,30.0,1.0,False
57,5,client,1,30.0,1.0,False
58,5,client,1,30.0,1.0,False
59,5,client,1,30.0,1.0,False
60,5,client,1,30.0,1.0,False
61,5,client,30,30.0,30.0,True
62,5,client,30,30.0,30.0,True
63,5,client,30,30.0,30.0,True
64,5,client,30,30.0,30.0,True
65,5,client,30,30.0,30.0,True
66,5,client,30,30.0,30.0,True
67,5,client,30,30.0,30.0,True
68,5,client,30,30.0,30.0,True
69,5,client,30,30.0,30.0,True
70,5,client,30,30.0,30.0,True
71,5,client,30,30.0,30.0,True
72,5,client,30,30.0,30.0,True
73,5,client,30,30.0,30.0,True
74,5,client,30,30.0,30.0,True
75,5,client,30,30.0,30.0,True
76,5,client,30,30.0,30.0,True
77,5,client,30,30.0,30.0,True
78,5,client,30,30.0,30.0,True
79,5,client,30,30.0,30.0,True
80,5,client,30,30.0,30.0,True
81,5,client,30,30.0,30.0,True
82,5,client,30,30.0,30.0,True
83,5,client,30,30.0,30.0,True
84,5,client,30,30.0,30.0,True
85,5,client,30,30.0,30.0,True
86,5,client,30,30.0,30.0,True
87,5,client,30,30.0,30.0,True
88,5,client,30,30.0,30.0,True
89,5,client,30,30.0,30.0,True
90,5,client,30,30.0,30.0,True
